ConstituentID,DisplayName,ArtistBio,Nationality,Gender,BeginDate,EndDate
1,Robert Arneson,"American, 1930–1992",American,male,1930,1992
2,Doroteo Arnaiz,"Spanish, born 1936",Spanish,male,1936,0
3,Bill Arnold,"American, born 1941",American,male,1941,0
4,Charles Arnoldi,"American, born 1946",American,male,1946,0
5,Per Arnoldi,"Danish, born 1941",Danish,male,1941,0
6,Danilo Aroldi,"Italian, born 1925",Italian,male,1925,0
7,Bill Aron,"American, born 1941",American,male,1941,0
9,David Aronson,"American, born Lithuania 1923",American,male,1923,0
10,Irene Aronson,"American, born Germany 1918",American,female,1918,0
11,Jean (Hans) Arp,"French, born Germany (Alsace). 1886–1966",French,male,1886,1966
12,Jüri Arrak,"Estonian, born 1936",Estonian,male,1936,0
13,J. Arrelano Fischer,"Mexican, 1911–1995",Mexican,male,1911,1995
15,Folke Arstrom,"Swedish, 1907–1997",Swedish,male,1907,1997
16,Cristobal Arteche,"Spanish, 1900–1964",Spanish,male,1900,1964
19,Richard Artschwager,"American, 1923–2013",American,male,1923,2013
21,Ruth Asawa,"American, 1926–2013",American,female,1926,2013
22,Isidora Aschheim,Israeli,Israeli,female,0,0
23,Charles Robert Ashbee,"British, 1863–1942",British,male,1863,1942
24,Donald Ashcraft,"American, born 1927",American,male,1927,0
25,E. M. Ashe,"American, 1867–1941",American,male,1867,1941
26,Göran Åslin,"Swedish, born 1940",Swedish,do not identify,1940,0
27,Erik Gunnar Asplund,"Swedish, 1885–1940",Swedish,male,1885,1940
28,Geneviève Asse,"French, born 1923",French,female,1923,0
30,Sergio Asti,"Italian, born 1926",Italian,male,1926,0
31,Dana Atchley,"American, 1941–2000",American,female,1941,2000
32,Atelier Eggers,French,French,do not identify,0,0
33,A.A.P.,American,American,do not identify,0,0
34,Alvar Aalto,"Finnish, 1898–1976",Finnish,male,1898,1976
35,Aino Aalto,"Finnish, 1894–1949",Finnish,female,1894,1949
36,Eero Aarnio,"Finnish, born 1932",Finnish,male,1932,0
37,Jules Aarons,"American, 1921–2008",American,male,1921,2008
38,Magdalena Abakanowicz,"Polish, 1930–2017",Polish,female,1930,2017
39,James Abbe,"American, 1883–1973",American,male,1883,1973
40,Jussuf Abbo,"Palestinian, 1888–1953",Palestinian,male,1888,1953
41,Berenice Abbott,"American, 1898–1991",American,female,1898,1991
42,Nobuya Abe,"Japanese, 1913–1971",Japanese,male,1913,1971
43,Abe Shiro (pen Name: Suichiku),"Japanese, born 1900",Japanese,male,1900,0
44,Robert Abel,"American, born 1937",American,male,1937,0
46,Sigmund Abeles,"American, born 1934",American,male,1934,0
47,Raimund Abraham,"American, born Austria. 1933–2010",American,male,1933,2010
49,Ivor Abrahams,"British, born 1935",British,male,1935,0
50,Gerald Abramovitz,"British, born South Africa. 1928–2011",British,male,1928,2011
51,William Ross Abrams,"American, 1920–2007",American,male,1920,2007
52,Rodolfo Abularach,"Guatemalan, born 1933",Guatemalan,male,1933,0
